GpsTm=789200724,Flag=4,Longi=114.072803,Lati=22.755983,Speed=582(0.1km/h),Yaw=115(deg)
AcceSpeed(X/Y/Z)=2/-8/99 (0.01g), AngSpeed(X/Y/Z)=-38/-267/-1 (0.01deg/s)
AcceSpeed(X/Y/Z)=9/-17/106 (0.01g), AngSpeed(X/Y/Z)=-38/-267/-1 (0.01deg/s)
AcceSpeed(X/Y/Z)=7/-16/109 (0.01g), AngSpeed(X/Y/Z)=-38/-267/-1 (0.01deg/s)
AcceSpeed(X/Y/Z)=10/-10/86 (0.01g), AngSpeed(X/Y/Z)=-38/-267/-1 (0.01deg/s)
AcceSpeed(X/Y/Z)=9/-12/105 (0.01g), AngSpeed(X/Y/Z)=-38/-267/8 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-8/98 (0.01g), AngSpeed(X/Y/Z)=-94/-229/8 (0.01deg/s)
AcceSpeed(X/Y/Z)=2/-19/101 (0.01g), AngSpeed(X/Y/Z)=-94/-229/8 (0.01deg/s)
AcceSpeed(X/Y/Z)=16/-12/116 (0.01g), AngSpeed(X/Y/Z)=-94/-229/8 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-15/107 (0.01g), AngSpeed(X/Y/Z)=-94/-229/8 (0.01deg/s)
AcceSpeed(X/Y/Z)=9/-18/110 (0.01g), AngSpeed(X/Y/Z)=-94/-229/8 (0.01deg/s)
AcceSpeed(X/Y/Z)=8/-10/107 (0.01g), AngSpeed(X/Y/Z)=-94/-229/8 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-12/90 (0.01g), AngSpeed(X/Y/Z)=78/-274/-12 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-15/105 (0.01g), AngSpeed(X/Y/Z)=78/-274/-12 (0.01deg/s)
AcceSpeed(X/Y/Z)=13/-18/105 (0.01g), AngSpeed(X/Y/Z)=78/-274/-12 (0.01deg/s)
AcceSpeed(X/Y/Z)=8/-13/85 (0.01g), AngSpeed(X/Y/Z)=78/-274/-12 (0.01deg/s)
AcceSpeed(X/Y/Z)=11/-11/100 (0.01g), AngSpeed(X/Y/Z)=78/-274/-12 (0.01deg/s)
AcceSpeed(X/Y/Z)=1/-16/106 (0.01g), AngSpeed(X/Y/Z)=78/-274/-12 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-15/82 (0.01g), AngSpeed(X/Y/Z)=245/-276/-31 (0.01deg/s)
AcceSpeed(X/Y/Z)=15/-12/95 (0.01g), AngSpeed(X/Y/Z)=245/-276/-31 (0.01deg/s)
AcceSpeed(X/Y/Z)=0/-16/113 (0.01g), AngSpeed(X/Y/Z)=245/-276/-31 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-16/102 (0.01g), AngSpeed(X/Y/Z)=245/-276/-31 (0.01deg/s)
AcceSpeed(X/Y/Z)=13/-14/95 (0.01g), AngSpeed(X/Y/Z)=245/-276/-31 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-13/98 (0.01g), AngSpeed(X/Y/Z)=245/-276/-31 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-17/101 (0.01g), AngSpeed(X/Y/Z)=374/-239/-30 (0.01deg/s)
AcceSpeed(X/Y/Z)=13/-18/97 (0.01g), AngSpeed(X/Y/Z)=374/-239/-30 (0.01deg/s)
AcceSpeed(X/Y/Z)=3/-15/91 (0.01g), AngSpeed(X/Y/Z)=374/-239/-30 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-11/84 (0.01g), AngSpeed(X/Y/Z)=374/-239/-30 (0.01deg/s)
AcceSpeed(X/Y/Z)=6/-13/102 (0.01g), AngSpeed(X/Y/Z)=374/-239/-30 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-12/88 (0.01g), AngSpeed(X/Y/Z)=374/-239/-30 (0.01deg/s)
AcceSpeed(X/Y/Z)=5/-17/86 (0.01g), AngSpeed(X/Y/Z)=406/-258/-32 (0.01deg/s)
AcceSpeed(X/Y/Z)=8/-21/107 (0.01g), AngSpeed(X/Y/Z)=406/-258/-32 (0.01deg/s)
AcceSpeed(X/Y/Z)=4/-17/100 (0.01g), AngSpeed(X/Y/Z)=406/-258/-32 (0.01deg/s)
