TimeStamp: 1722319102(2024-07-30 13:58:22), LockStatus: 0x786435, Longitude: 114.048138, Latitude: 22.596750, Speed: 12.44m/s, Heading: 0
TimeStamp: 1722319103(2024-07-30 13:58:23), LockStatus: 0x786435, Longitude: 114.048082, Latitude: 22.596848, Speed: 12.22m/s, Heading: 0
TimeStamp: 1722319104(2024-07-30 13:58:24), LockStatus: 0x786435, Longitude: 114.048023, Latitude: 22.596942, Speed: 11.86m/s, Heading: 0
TimeStamp: 1722319105(2024-07-30 13:58:25), LockStatus: 0x786435, Longitude: 114.047962, Latitude: 22.597030, Speed: 11.53m/s, Heading: 0
TimeStamp: 1722319106(2024-07-30 13:58:26), LockStatus: 0x786435, Longitude: 114.047888, Latitude: 22.597107, Speed: 11.22m/s, Heading: 0
TimeStamp: 1722319107(2024-07-30 13:58:27), LockStatus: 0x786435, Longitude: 114.047888, Latitude: 22.597107, Speed: 11.22m/s, Heading: 0
TimeStamp: 1722319108(2024-07-30 13:58:28), LockStatus: 0x786435, Longitude: 114.047717, Latitude: 22.597213, Speed: 10.33m/s, Heading: 0
TimeStamp: 1722319109(2024-07-30 13:58:29), LockStatus: 0x786435, Longitude: 114.047623, Latitude: 22.597243, Speed: 10.06m/s, Heading: 0
TimeStamp: 1722319110(2024-07-30 13:58:30), LockStatus: 0x786435, Longitude: 114.047527, Latitude: 22.597267, Speed: 10.22m/s, Heading: 0
TimeStamp: 1722319111(2024-07-30 13:58:31), LockStatus: 0x786435, Longitude: 114.047430, Latitude: 22.597295, Speed: 10.44m/s, Heading: 0
TimeStamp: 1722319112(2024-07-30 13:58:32), LockStatus: 0x786435, Longitude: 114.047333, Latitude: 22.597327, Speed: 10.72m/s, Heading: 0
TimeStamp: 1722319113(2024-07-30 13:58:33), LockStatus: 0x786435, Longitude: 114.047238, Latitude: 22.597368, Speed: 10.86m/s, Heading: 0
TimeStamp: 1722319114(2024-07-30 13:58:34), LockStatus: 0x786435, Longitude: 114.047150, Latitude: 22.597420, Speed: 10.67m/s, Heading: 0
TimeStamp: 1722319115(2024-07-30 13:58:35), LockStatus: 0x786435, Longitude: 114.047070, Latitude: 22.597480, Speed: 10.50m/s, Heading: 0
TimeStamp: 1722319116(2024-07-30 13:58:36), LockStatus: 0x786435, Longitude: 114.047002, Latitude: 22.597548, Speed: 10.42m/s, Heading: 0
TimeStamp: 1722319117(2024-07-30 13:58:37), LockStatus: 0x786435, Longitude: 114.046943, Latitude: 22.597623, Speed: 10.22m/s, Heading: 0
TimeStamp: 1722319118(2024-07-30 13:58:38), LockStatus: 0x786435, Longitude: 114.046943, Latitude: 22.597623, Speed: 10.22m/s, Heading: 0
TimeStamp: 1722319119(2024-07-30 13:58:39), LockStatus: 0x786435, Longitude: 114.046893, Latitude: 22.597703, Speed: 10.19m/s, Heading: 0
TimeStamp: 1722319120(2024-07-30 13:58:40), LockStatus: 0x786435, Longitude: 114.046793, Latitude: 22.597878, Speed: 11.53m/s, Heading: 0
TimeStamp: 1722319121(2024-07-30 13:58:41), LockStatus: 0x786435, Longitude: 114.046740, Latitude: 22.597973, Speed: 12.14m/s, Heading: 0
TimeStamp: 1722319122(2024-07-30 13:58:42), LockStatus: 0x786435, Longitude: 114.046740, Latitude: 22.597973, Speed: 12.14m/s, Heading: 0
