timestamp gps_vel pred_vel diff_with_last_update delta_vel update_vel pred_P update_P
1722319870 1.3333 3.1244 3.1244 -1.0260 2.0985 150.7240 0.1598
1722319871 1.3333 2.3544 0.2559 -1.6241 0.7303 0.3558 0.1104
1722319872 1.1667 0.8102 0.0799 1.0716 1.8818 0.3064 0.1051
1722319873 1.1944 1.9715 0.0897 -0.4598 1.5117 0.3011 0.1045
1722319874 1.2778 1.4938 -0.0179 -0.1782 1.3156 0.3005 0.1044
1722319875 1.4722 1.2586 -0.0570 0.1647 1.4233 0.3004 0.1044
1722319876 1.9167 1.2587 -0.1646 0.2287 1.4874 0.3004 0.1044
1722320059 2.0000 2.1601 0.6727 -0.1248 2.0353 35.9724 0.1593
1722320060 1.8611 2.0858 0.0506 -0.0839 2.0019 0.3553 0.1103
1722320061 1.8056 2.0232 0.0212 -0.0428 1.9804 0.3063 0.1051
1722320062 1.9722 1.8745 -0.1059 0.0062 1.8806 0.3011 0.1045
1722320063 1.8056 1.9116 0.0310 0.0343 1.9459 0.3005 0.1044
1722320064 1.6667 1.9965 0.0506 -0.2215 1.7750 0.3004 0.1044
1722320065 1.4444 1.7962 0.0212 -0.1397 1.6565 0.3004 0.1044
1722320066 1.4722 1.5897 -0.0668 -0.0030 1.5867 0.3004 0.1044
1722320067 1.5556 1.5395 -0.0472 -0.1194 1.4201 0.3004 0.1044
1722320068 1.5278 1.3728 -0.0472 0.1854 1.5583 0.3004 0.1044
1722320069 1.4722 1.4621 -0.0961 -0.0172 1.4450 0.3004 0.1044
1722320070 1.4722 1.4564 0.0114 -0.9503 0.5061 0.3004 0.1044
1722320071 1.2500 0.5371 0.0310 1.6642 2.2013 0.3004 0.1044
1722320072 0.0000 2.5844 0.3831 -1.6862 0.8981 0.3004 0.1044
1722320073 0.0000 1.0563 0.1581 -0.6892 0.3671 0.3004 0.1044
1722320074 0.0000 0.0000 -0.3671 0.0000 0.0000 0.3004 0.1044
1722320075 0.0000 0.0000 0.0000 0.0000 0.0000 0.1044 0.0632
1722320076 0.0000 0.0000 0.0000 0.0000 0.0000 0.0632 0.0453
1722320077 1.8611 0.0000 0.0000 0.3656 0.3656 0.0453 0.0353
1722320078 1.8611 -0.2782 -0.6438 0.1645 -0.1138 0.2313 0.0946
1722320081 1.4444 2.6022 2.7159 -0.5168 2.0853 0.6826 0.1296
1722320082 0.0000 2.3902 0.3048 -0.5673 1.8228 0.3256 0.1073
1722320083 0.0000 2.0788 0.2559 -1.2263 0.8524 0.3033 0.1047
1722320084 0.0000 0.8247 -0.0277 -0.4713 0.3534 0.3007 0.1044
1722320085 0.0000 0.2769 -0.0766 -0.0361 0.2407 0.3004 0.1044
1722320086 0.0000 0.1935 -0.0472 -0.0540 0.1395 0.3004 0.1044
1722320087 0.0000 0.0629 -0.0766 0.0930 0.1559 0.3004 0.1044
1722320088 0.6111 -0.1456 -0.3015 0.4600 0.3143 0.3004 0.1044
1722320089 1.5833 -0.5838 -0.8981 1.1423 0.5585 0.3004 0.1044
1722320090 1.5833 -0.0364 -0.5949 0.0238 -0.0127 0.3004 0.1044
1722320455 1.1944 2.8224 2.8351 -1.3149 1.5075 71.6444 0.1596
1722320456 0.5833 2.2035 0.6960 -0.9989 1.2046 0.3556 0.1104
1722320457 0.6389 1.4507 0.2462 -0.5651 0.8857 0.3064 0.1051
1722320458 0.1944 0.9265 0.0408 -0.4526 0.4739 0.3011 0.1045
1722320459 0.0000 0.6516 0.1777 -0.2911 0.3604 0.3005 0.1044
1722320460 0.0000 0.0000 -0.3604 0.0000 0.0000 0.3004 0.1044
1722320461 0.0000 0.0000 0.0000 0.0811 0.0811 0.1044 0.0632
1722320462 0.0000 0.0000 -0.0811 0.0000 0.0000 0.2592 0.0989
1722320463 0.0000 0.0000 0.0000 0.0392 0.0392 0.0989 0.0611
